# RxnClock fit export
# exported 2026-08-15
# mechanism: "Starting Material" -> "Product 1"
# mechanism: "Starting Material" -> "5-bromo-2-methylpyridine adduct"
# raw data
time (min),S1 = Starting Material,S2 = Product 1,S3 = 5-bromo-2-methylpyridine adduct,S4 = Mass Balance (%)
0,0.1,0,0,99.8
2,0.092,0.006,0.003,100.4
4,0.083,0.011,0.005,98.9
6,0.075,0.016,0.008,98.6
8,0.069,0.02,0.01,99.2
10,0.063,0.024,0.012,99.4
15,0.051,0.034,0.016,101.7
20,0.04,0.039,0.019,99.3
25,0.033,0.046,0.023,101.8
30,0.025,0.05,0.025,99.4
40,0.016,0.056,0.029,101.4
50,0.01,0.06,0.03,100.9
60,0.007,0.061,0.031,99.3
75,0.003,0.063,0.032,98.3

# fitted curves
time (min),S1 = Starting Material,S2 = Product 1,S3 = 5-bromo-2-methylpyridine adduct
36.42188,0.01899085,0.05385353,0.02715562
36.91406,0.01856928,0.05413378,0.02729694
37.40625,0.01815707,0.05440781,0.02743512
37.89844,0.017754,0.05467576,0.02757023
38.39063,0.01735989,0.05493776,0.02770235
38.88281,0.01697452,0.05519395,0.02783153
39.375,0.01659771,0.05544445,0.02795784
39.86719,0.01622926,0.05568939,0.02808135
40.35938,0.01586899,0.05592889,0.02820212
40.85156,0.01551672,0.05616307,0.02832021
41.34375,0.01517227,0.05639206,0.02843567
41.83594,0.01483546,0.05661596,0.02854858
42.32813,0.01450614,0.05683489,0.02865897
42.82031,0.01418412,0.05704896,0.02876692
43.3125,0.01386925,0.05725828,0.02887247
43.80469,0.01356137,0.05746296,0.02897567
44.29688,0.01326032,0.05766309,0.02907659
44.78906,0.01296596,0.05785877,0.02917527
45.28125,0.01267813,0.05805012,0.02927175
45.77344,0.0123967,0.05823721,0.02936609
46.26563,0.0121215,0.05842015,0.02945834
46.75781,0.01185242,0.05859904,0.02954854
47.25,0.01158931,0.05877395,0.02963674
47.74219,0.01133205,0.05894497,0.02972298
48.23438,0.01108049,0.0591122,0.02980731
48.72656,0.01083452,0.05927572,0.02988976
49.21875,0.010594,0.05943561,0.02997038
49.71094,0.01035883,0.05959195,0.03004922
50.20313,0.01012888,0.05974482,0.0301263
50.69531,0.00990403,0.05989429,0.03020168
51.1875,0.009684173,0.06004045,0.03027538
51.67969,0.009469197,0.06018336,0.03034744
52.17188,0.009258993,0.0603231,0.0304179
52.66406,0.009053455,0.06045974,0.0304868
53.15625,0.00885248,0.06059335,0.03055417
53.64844,0.008655966,0.06072399,0.03062005
54.14063,0.008463815,0.06085173,0.03068446
54.63281,0.008275929,0.06097663,0.03074744
55.125,0.008092214,0.06109876,0.03080903
55.61719,0.007912577,0.06121818,0.03086924
56.10938,0.007736928,0.06133495,0.03092812
56.60156,0.007565178,0.06144912,0.0309857
57.09375,0.007397241,0.06156077,0.03104199
57.58594,0.007233032,0.06166993,0.03109704
58.07813,0.007072468,0.06177667,0.03115086
58.57031,0.006915468,0.06188104,0.03120349
59.0625,0.006761953,0.06198309,0.03125495
59.55469,0.006611847,0.06208288,0.03130527
60.04688,0.006465072,0.06218046,0.03135447
60.53906,0.006321556,0.06227586,0.03140258
61.03125,0.006181225,0.06236915,0.03144962
61.52344,0.00604401,0.06246037,0.03149562
62.01563,0.005909841,0.06254956,0.03154059
62.50781,0.00577865,0.06263678,0.03158457
63,0.005650371,0.06272206,0.03162757
63.49219,0.00552494,0.06280544,0.03166962
63.98438,0.005402294,0.06288697,0.03171073
64.47656,0.00528237,0.0629667,0.03175093
64.96875,0.005165108,0.06304465,0.03179024
65.46094,0.005050449,0.06312087,0.03182868
65.95313,0.004938335,0.0631954,0.03186626
66.44531,0.004828711,0.06326828,0.03190301
66.9375,0.00472152,0.06333954,0.03193894
67.42969,0.004616708,0.06340922,0.03197407
67.92188,0.004514223,0.06347735,0.03200843
68.41406,0.004414013,0.06354397,0.03204202
68.90625,0.004316027,0.0636091,0.03207487
69.39844,0.004220217,0.0636728,0.03210698
69.89063,0.004126534,0.06373508,0.03213839
70.38281,0.00403493,0.06379597,0.0321691
70.875,0.00394536,0.06385552,0.03219912
71.36719,0.003857778,0.06391374,0.03222848
71.85938,0.00377214,0.06397067,0.03225719
72.35156,0.003688403,0.06402634,0.03228526
72.84375,0.003606525,0.06408077,0.0323127
73.33594,0.003526465,0.06413399,0.03233954
73.82813,0.003448182,0.06418603,0.03236578
74.32031,0.003371637,0.06423692,0.03239144
74.8125,0.003296791,0.06428668,0.03241653
75.30469,0.003223606,0.06433533,0.03244107
75.79688,0.003152046,0.0643829,0.03246505
76.28906,0.003082075,0.06442942,0.03248851
76.78125,0.003013657,0.0644749,0.03251144
77.27344,0.002946758,0.06451937,0.03253387
77.76563,0.002881343,0.06456286,0.0325558
78.25781,0.002817381,0.06460538,0.03257724
78.75,0.002754839,0.06464696,0.0325982

# fitted constants
constant,value,units
k S1 -> S2 (Starting Material -> Product 1),0.03032097,min^-1
k S1 -> S3 (Starting Material -> 5-bromo-2-methylpyridine adduct),0.01528934,min^-1
R squared,0.9994016,
SSE,0.00001323456,signal^2
RMSE,0.0005613453,signal units
points,42,
